语言,出现次数
JavaScript,49347
Docker,40224
HTML/CSS,40207
SQL,38361
Git,35911
AWS,31590
Python,31159
PostgreSQL,30102
MySQL,29490
TypeScript,27533
Node.js,26043
React.js,24695
Java,22653
Bash/Shell,21929
C#,21724
Microsoft SQL Server,20105
SQLite,19324
jQuery,18812
Microsoft Azure,17963
MongoDB,17283
npm,17066
Redis,16595
PHP,15409
Yarn,15303
Kubernetes,14775
Angular,14398
Express,13268
C++,12670
ASP.NET Core ,12639
Vue.js,11763
MariaDB,11382
Elasticsearch,10448
C,10226
ASP.NET,10197
Heroku,9860
Firebase,9821
DigitalOcean,9224
PowerShell,9117
Google Cloud Platform,8544
Oracle,8044
Go,8001
Flask,7920
Homebrew,7758
Django,7434
Terraform,7378
Angular.js,6591
Ansible,6362
Kotlin,6345
Google Cloud,6311
DynamoDB,6118
Laravel,5912
Ruby,5678
Spring,5242
Rust,4931
Ruby on Rails,4528
Unity 3D,4268
Dart,3903
Swift,3731
Next.js,3382
VBA,3362
R,2994
Groovy,2884
FastAPI,2835
Symfony,2488
Gatsby,2414
Assembly,2405
Scala,2107
Firebase Realtime Database,2074
Objective-C,2050
Delphi,1881
Cloud Firestore,1855
Svelte,1846
Perl,1804
VMware,1789
Cassandra,1743
Elixir,1663
Xamarin,1514
Drupal,1472
Unreal Engine,1447
IBM DB2,1443
Clojure,1439
Managed Hosting,1406
Matlab,1330
Blazor,1287
Puppet,1245
Haskell,1041
Nuxt.js,986
Chef,950
Lua,939
Couchbase,931
OVH,907
MATLAB,894
Linode,883
IBM Cloud or Watson,858
Oracle Cloud Infrastructure,789
F#,774
Deno,769
Julia,759
LISP,722
Flow,640
Phoenix,633
Erlang,618
Neo4j,575
Fastify,489
Pulumi,462
OpenStack,453
COBOL,364
Solidity,363
CouchDB,356
Crystal,336
Colocation,271
Fortran,236
APL,222
Play Framework,208
SAS,150
OCaml,112
